"id","MaleorPresent","definition","FemaleorPast","Type","DateAdded","Lang","createdAt","updatedAt","createdBy","updatedBy"
"11","ਫਸਲੁਣ","separate, detach, disconnect, break, dismiss","null","null","2022-06-02T07:00:00.000Z","Arabic","2022-06-02T18:22:11.950Z","2022-06-02T18:22:11.950Z","{""id"":1,""firstname"":""Jujhar"",""lastname"":""Singh"",""username"":null,""email"":""rahjuj@yahoo.com"",""password"":""$2a$10$K98Em5wE7K08Kdts.7n8Ue44Fw5yoCUSl7yqEQ4ycsyu9LaCb2uLS"",""resetPasswordToken"":null,""registrationToken"":null,""isActive"":true,""blocked"":false,""preferedLanguage"":null,""createdAt"":""2022-05-16T00:10:35.773Z"",""updatedAt"":""2022-05-16T00:10:35.773Z""}","{""id"":1,""firstname"":""Jujhar"",""lastname"":""Singh"",""username"":null,""email"":""rahjuj@yahoo.com"",""password"":""$2a$10$K98Em5wE7K08Kdts.7n8Ue44Fw5yoCUSl7yqEQ4ycsyu9LaCb2uLS"",""resetPasswordToken"":null,""registrationToken"":null,""isActive"":true,""blocked"":false,""preferedLanguage"":null,""createdAt"":""2022-05-16T00:10:35.773Z"",""updatedAt"":""2022-05-16T00:10:35.773Z""}"
"12","ਹੁਮਾਸ","enthusiasm, intense interest, heartiness","null","null","2022-06-02T07:00:00.000Z","Arabic","2022-06-02T18:23:23.819Z","2022-06-02T18:23:23.819Z","{""id"":1,""firstname"":""Jujhar"",""lastname"":""Singh"",""username"":null,""email"":""rahjuj@yahoo.com"",""password"":""$2a$10$K98Em5wE7K08Kdts.7n8Ue44Fw5yoCUSl7yqEQ4ycsyu9LaCb2uLS"",""resetPasswordToken"":null,""registrationToken"":null,""isActive"":true,""blocked"":false,""preferedLanguage"":null,""createdAt"":""2022-05-16T00:10:35.773Z"",""updatedAt"":""2022-05-16T00:10:35.773Z""}","{""id"":1,""firstname"":""Jujhar"",""lastname"":""Singh"",""username"":null,""email"":""rahjuj@yahoo.com"",""password"":""$2a$10$K98Em5wE7K08Kdts.7n8Ue44Fw5yoCUSl7yqEQ4ycsyu9LaCb2uLS"",""resetPasswordToken"":null,""registrationToken"":null,""isActive"":true,""blocked"":false,""preferedLanguage"":null,""createdAt"":""2022-05-16T00:10:35.773Z"",""updatedAt"":""2022-05-16T00:10:35.773Z""}"
"13","ਵਾਕੋਡੂਣ","fuel","null","null","2022-06-02T07:00:00.000Z","Arabic","2022-06-02T18:25:43.270Z","2022-06-02T18:25:43.270Z","{""id"":1,""firstname"":""Jujhar"",""lastname"":""Singh"",""username"":null,""email"":""rahjuj@yahoo.com"",""password"":""$2a$10$K98Em5wE7K08Kdts.7n8Ue44Fw5yoCUSl7yqEQ4ycsyu9LaCb2uLS"",""resetPasswordToken"":null,""registrationToken"":null,""isActive"":true,""blocked"":false,""preferedLanguage"":null,""createdAt"":""2022-05-16T00:10:35.773Z"",""updatedAt"":""2022-05-16T00:10:35.773Z""}","{""id"":1,""firstname"":""Jujhar"",""lastname"":""Singh"",""username"":null,""email"":""rahjuj@yahoo.com"",""password"":""$2a$10$K98Em5wE7K08Kdts.7n8Ue44Fw5yoCUSl7yqEQ4ycsyu9LaCb2uLS"",""resetPasswordToken"":null,""registrationToken"":null,""isActive"":true,""blocked"":false,""preferedLanguage"":null,""createdAt"":""2022-05-16T00:10:35.773Z"",""updatedAt"":""2022-05-16T00:10:35.773Z""}"
"14","ਲਾ","no","null","null","2022-06-02T07:00:00.000Z","Arabic","2022-06-02T18:29:39.341Z","2022-06-02T18:29:39.341Z","{""id"":1,""firstname"":""Jujhar"",""lastname"":""Singh"",""username"":null,""email"":""rahjuj@yahoo.com"",""password"":""$2a$10$K98Em5wE7K08Kdts.7n8Ue44Fw5yoCUSl7yqEQ4ycsyu9LaCb2uLS"",""resetPasswordToken"":null,""registrationToken"":null,""isActive"":true,""blocked"":false,""preferedLanguage"":null,""createdAt"":""2022-05-16T00:10:35.773Z"",""updatedAt"":""2022-05-16T00:10:35.773Z""}","{""id"":1,""firstname"":""Jujhar"",""lastname"":""Singh"",""username"":null,""email"":""rahjuj@yahoo.com"",""password"":""$2a$10$K98Em5wE7K08Kdts.7n8Ue44Fw5yoCUSl7yqEQ4ycsyu9LaCb2uLS"",""resetPasswordToken"":null,""registrationToken"":null,""isActive"":true,""blocked"":false,""preferedLanguage"":null,""createdAt"":""2022-05-16T00:10:35.773Z"",""updatedAt"":""2022-05-16T00:10:35.773Z""}"
"15","ਕਾਈਰੁਨ","good, welfare-giving, benevolent, charitable,","null","null","2022-06-02T07:00:00.000Z","Arabic","2022-06-02T18:33:53.992Z","2022-06-02T18:33:53.992Z","{""id"":1,""firstname"":""Jujhar"",""lastname"":""Singh"",""username"":null,""email"":""rahjuj@yahoo.com"",""password"":""$2a$10$K98Em5wE7K08Kdts.7n8Ue44Fw5yoCUSl7yqEQ4ycsyu9LaCb2uLS"",""resetPasswordToken"":null,""registrationToken"":null,""isActive"":true,""blocked"":false,""preferedLanguage"":null,""createdAt"":""2022-05-16T00:10:35.773Z"",""updatedAt"":""2022-05-16T00:10:35.773Z""}","{""id"":1,""firstname"":""Jujhar"",""lastname"":""Singh"",""username"":null,""email"":""rahjuj@yahoo.com"",""password"":""$2a$10$K98Em5wE7K08Kdts.7n8Ue44Fw5yoCUSl7yqEQ4ycsyu9LaCb2uLS"",""resetPasswordToken"":null,""registrationToken"":null,""isActive"":true,""blocked"":false,""preferedLanguage"":null,""createdAt"":""2022-05-16T00:10:35.773Z"",""updatedAt"":""2022-05-16T00:10:35.773Z""}"
"16","ਨਾਜ਼ੀਫ","clean","ਨੁਜ਼ਾਫਾਤ","Singular / Plural","2022-06-02T07:00:00.000Z","Arabic","2022-06-02T18:38:00.313Z","2022-06-02T18:38:00.313Z","{""id"":1,""firstname"":""Jujhar"",""lastname"":""Singh"",""username"":null,""email"":""rahjuj@yahoo.com"",""password"":""$2a$10$K98Em5wE7K08Kdts.7n8Ue44Fw5yoCUSl7yqEQ4ycsyu9LaCb2uLS"",""resetPasswordToken"":null,""registrationToken"":null,""isActive"":true,""blocked"":false,""preferedLanguage"":null,""createdAt"":""2022-05-16T00:10:35.773Z"",""updatedAt"":""2022-05-16T00:10:35.773Z""}","{""id"":1,""firstname"":""Jujhar"",""lastname"":""Singh"",""username"":null,""email"":""rahjuj@yahoo.com"",""password"":""$2a$10$K98Em5wE7K08Kdts.7n8Ue44Fw5yoCUSl7yqEQ4ycsyu9LaCb2uLS"",""resetPasswordToken"":null,""registrationToken"":null,""isActive"":true,""blocked"":false,""preferedLanguage"":null,""createdAt"":""2022-05-16T00:10:35.773Z"",""updatedAt"":""2022-05-16T00:10:35.773Z""}"
"17","ਵਾਡਾ","put, set, position, lay, design","null","null","2022-06-02T07:00:00.000Z","Arabic","2022-06-02T18:40:41.970Z","2022-06-02T18:40:41.970Z","{""id"":1,""firstname"":""Jujhar"",""lastname"":""Singh"",""username"":null,""email"":""rahjuj@yahoo.com"",""password"":""$2a$10$K98Em5wE7K08Kdts.7n8Ue44Fw5yoCUSl7yqEQ4ycsyu9LaCb2uLS"",""resetPasswordToken"":null,""registrationToken"":null,""isActive"":true,""blocked"":false,""preferedLanguage"":null,""createdAt"":""2022-05-16T00:10:35.773Z"",""updatedAt"":""2022-05-16T00:10:35.773Z""}","{""id"":1,""firstname"":""Jujhar"",""lastname"":""Singh"",""username"":null,""email"":""rahjuj@yahoo.com"",""password"":""$2a$10$K98Em5wE7K08Kdts.7n8Ue44Fw5yoCUSl7yqEQ4ycsyu9LaCb2uLS"",""resetPasswordToken"":null,""registrationToken"":null,""isActive"":true,""blocked"":false,""preferedLanguage"":null,""createdAt"":""2022-05-16T00:10:35.773Z"",""updatedAt"":""2022-05-16T00:10:35.773Z""}"
"18","ਆਮੁਲਣ","work, action, business, job, labor","null","null","2022-06-02T07:00:00.000Z","Arabic","2022-06-02T18:41:45.526Z","2022-06-02T18:41:45.526Z","{""id"":1,""firstname"":""Jujhar"",""lastname"":""Singh"",""username"":null,""email"":""rahjuj@yahoo.com"",""password"":""$2a$10$K98Em5wE7K08Kdts.7n8Ue44Fw5yoCUSl7yqEQ4ycsyu9LaCb2uLS"",""resetPasswordToken"":null,""registrationToken"":null,""isActive"":true,""blocked"":false,""preferedLanguage"":null,""createdAt"":""2022-05-16T00:10:35.773Z"",""updatedAt"":""2022-05-16T00:10:35.773Z""}","{""id"":1,""firstname"":""Jujhar"",""lastname"":""Singh"",""username"":null,""email"":""rahjuj@yahoo.com"",""password"":""$2a$10$K98Em5wE7K08Kdts.7n8Ue44Fw5yoCUSl7yqEQ4ycsyu9LaCb2uLS"",""resetPasswordToken"":null,""registrationToken"":null,""isActive"":true,""blocked"":false,""preferedLanguage"":null,""createdAt"":""2022-05-16T00:10:35.773Z"",""updatedAt"":""2022-05-16T00:10:35.773Z""}"
"19","ਤਾਲਿਬ","request, demand, order, seek, require","null","null","2022-06-02T07:00:00.000Z","Arabic","2022-06-02T18:42:50.532Z","2022-06-02T18:42:50.532Z","{""id"":1,""firstname"":""Jujhar"",""lastname"":""Singh"",""username"":null,""email"":""rahjuj@yahoo.com"",""password"":""$2a$10$K98Em5wE7K08Kdts.7n8Ue44Fw5yoCUSl7yqEQ4ycsyu9LaCb2uLS"",""resetPasswordToken"":null,""registrationToken"":null,""isActive"":true,""blocked"":false,""preferedLanguage"":null,""createdAt"":""2022-05-16T00:10:35.773Z"",""updatedAt"":""2022-05-16T00:10:35.773Z""}","{""id"":1,""firstname"":""Jujhar"",""lastname"":""Singh"",""username"":null,""email"":""rahjuj@yahoo.com"",""password"":""$2a$10$K98Em5wE7K08Kdts.7n8Ue44Fw5yoCUSl7yqEQ4ycsyu9LaCb2uLS"",""resetPasswordToken"":null,""registrationToken"":null,""isActive"":true,""blocked"":false,""preferedLanguage"":null,""createdAt"":""2022-05-16T00:10:35.773Z"",""updatedAt"":""2022-05-16T00:10:35.773Z""}"
"20","ਮੋਹਿਮ","task, mission, job, function, assignment","null","null","2022-06-02T07:00:00.000Z","Arabic","2022-06-02T18:43:43.227Z","2022-06-02T18:43:43.227Z","{""id"":1,""firstname"":""Jujhar"",""lastname"":""Singh"",""username"":null,""email"":""rahjuj@yahoo.com"",""password"":""$2a$10$K98Em5wE7K08Kdts.7n8Ue44Fw5yoCUSl7yqEQ4ycsyu9LaCb2uLS"",""resetPasswordToken"":null,""registrationToken"":null,""isActive"":true,""blocked"":false,""preferedLanguage"":null,""createdAt"":""2022-05-16T00:10:35.773Z"",""updatedAt"":""2022-05-16T00:10:35.773Z""}","{""id"":1,""firstname"":""Jujhar"",""lastname"":""Singh"",""username"":null,""email"":""rahjuj@yahoo.com"",""password"":""$2a$10$K98Em5wE7K08Kdts.7n8Ue44Fw5yoCUSl7yqEQ4ycsyu9LaCb2uLS"",""resetPasswordToken"":null,""registrationToken"":null,""isActive"":true,""blocked"":false,""preferedLanguage"":null,""createdAt"":""2022-05-16T00:10:35.773Z"",""updatedAt"":""2022-05-16T00:10:35.773Z""}"
"21","ਵਾਬੀਫਾਤਣ","function, job, position, office, service","null","null","2022-06-02T07:00:00.000Z","Arabic","2022-06-02T18:44:55.981Z","2022-06-02T18:45:43.400Z","{""id"":1,""firstname"":""Jujhar"",""lastname"":""Singh"",""username"":null,""email"":""rahjuj@yahoo.com"",""password"":""$2a$10$K98Em5wE7K08Kdts.7n8Ue44Fw5yoCUSl7yqEQ4ycsyu9LaCb2uLS"",""resetPasswordToken"":null,""registrationToken"":null,""isActive"":true,""blocked"":false,""preferedLanguage"":null,""createdAt"":""2022-05-16T00:10:35.773Z"",""updatedAt"":""2022-05-16T00:10:35.773Z""}","{""id"":1,""firstname"":""Jujhar"",""lastname"":""Singh"",""username"":null,""email"":""rahjuj@yahoo.com"",""password"":""$2a$10$K98Em5wE7K08Kdts.7n8Ue44Fw5yoCUSl7yqEQ4ycsyu9LaCb2uLS"",""resetPasswordToken"":null,""registrationToken"":null,""isActive"":true,""blocked"":false,""preferedLanguage"":null,""createdAt"":""2022-05-16T00:10:35.773Z"",""updatedAt"":""2022-05-16T00:10:35.773Z""}"
